employment_status,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Full Time Tenured,62,69,71,67,70,65,65,67,69,70,78,77,79,77,80,71,84,82,77,72,64
Full Time Tenure Track,36,30,31,29,32,34,33,34,29,38,42,43,43,41,40,46,30,31,37,43,41
Full Time Non Tenure Track,12,13,15,29,30,23,19,16,26,32,44,35,34,43,29,39,46,47,50,48,48
Part Time,72,84,126,137,164,188,179,125,176,152,132,161,188,185,247,227,215,252,238,229,239
