year,allowance
2006,16157000
2007,18135000
2008,19790561
2009,22229426
2010,25226173
2011,30596000
2012,32819000
2013,34602000
2014,36853000
2015,42395000
2016,44944000
2017,54909000
2018,59086000
2019,62196000
2021,62703000
2020,68047000
2022,70483000
