category,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2020,2022
Allowance,16.16M,18.14M,19.79M,22.23M,25.23M,30.60M,32.82M,34.60M,36.85M,42.40M,44.94M,54.91M,59.09M,62.20M,62.70M,68.05M,70.48M
Tuition,35.66M,47.01M,54.09M,52.54M,54.22M,54.77M,54.74M,55.19M,55.63M,55.49M,57.75M,56.47M,55.23M,54.79M,56.04M,53.91M,48.09M
Gross Tuition,51.82M,65.15M,73.88M,74.77M,79.44M,85.37M,87.56M,89.79M,92.48M,97.89M,102.69M,111.37M,114.31M,116.99M,118.75M,121.95M,118.57M
Discount Rate,31.18%,27.84%,26.79%,29.73%,31.75%,35.84%,37.48%,38.54%,39.85%,43.31%,43.77%,49.30%,51.69%,53.17%,52.80%,55.80%,59.44%
